SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612382;44445;AMÉLIA MENDONÇA;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001698518;1244;SERGIO SANTOS;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001697457;1415;TENENTE DG;DEFERIDO;14;PTB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001719173;5123;ARIELLE FERNANDES;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636062;11211;DR CARLOS;DEFERIDO;11;PP;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636060;11666;ADRIANA KATIA;DEFERIDO;11;PP;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612346;13913;PROFESSOR LUIZINHO;DEFERIDO;13;PT;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652748;4000;DR CLEBER;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638560;70654;HILTON DO VIOLAO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001697453;1422;EUCLYDES MELLO;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621797;40240;VAL ENFERMEIRO;INDEFERIDO;40;PSB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652457;1045;ENFERMEIRA MOSABELLE RIBEIRO;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652458;1012;ARIANA CAVALCANTI;RENÚNCIA;10;REPUBLICANOS;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638582;70888;LINDOMAR;RENÚNCIA;70;AVANTE;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001697451;1441;SARGENTO JAMERSON FERNANDES;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001653889;1588;JULLYENE LINS;DEFERIDO;15;MDB;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001698409;12369;JOSEILDO ROCHA;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621805;40777;REPÓRTER ABIDIAS MARTINS;DEFERIDO;40;PSB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638578;70200;ALLISSINHA;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652450;1010;NIVALDO ALBUQUERQUE;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;S
AL;ALAGOAS;DEPUTADO FEDERAL;20001653895;1555;SILVANIA BARBOSA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636057;11122;JOANA MARIA;DEFERIDO;11;PP;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001652057;55122;ROGÉRIO DIAS;RENÚNCIA;55;PSD;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001621227;7012;CAIO LIMA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638576;70012;THIAGO TOLEDO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612344;13200;JUDSON CABRAL;DEFERIDO;13;PT;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001698406;12333;JOSÉ SERRA;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652752;4022;MARCELLA SOARES;DEFERIDO;40;PSB;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612370;44800;SABRINA CHICUTA;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612363;43007;JACOZINHO;DEFERIDO;43;PV;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001620155;22121;CAMILA COSTA;DEFERIDO;22;PL;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621786;40120;BETO CABELOS;DEFERIDO;40;PSB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001718554;3500;GILVAN MENEZES;DEFERIDO;35;PMB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638581;70999;DRA EDJA;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621806;40234;MARIANA SOARES;DEFERIDO;40;PSB;FEMININO;PRETA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001732361;65100;TIA ADELAIDE;DEFERIDO;65;PC do B;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001652533;10122;CIDA FERRO;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001620176;22120;PROF VILMA;DEFERIDO;22;PL;FEMININO;PRETA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001653832;5044;PROFESSOR LUIZ GALDINO;INDEFERIDO COM RECURSO;50;PSOL;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001612348;13613;DR VALMIR;DEFERIDO;13;PT;MASCULINO;PRETA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001653893;1516;MARCOS RAMALHO;DEFERIDO;15;MDB;MASCULINO;PRETA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001611721;4455;RODRIGO VALENÇA;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652451;1011;OLIVEIRA LIMA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636047;11234;CLAUDIO RIOS;INDEFERIDO;11;PP;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001653534;15321;BRIVALDO MARQUES;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621807;40000;AIRTON DA VIGILÂNCIA;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
AL;ALAGOAS;2º SUPLENTE;20001698128;151;ADÉLIA MARIA;DEFERIDO;43;PV;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001605784;7711;VAL DA CLINICA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PRETA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001719172;5100;SOS SANDRO OLIVEIRA DA SILVA;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001638569;70444;BISPO FILHO;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
AL;ALAGOAS;1º SUPLENTE;20001608377;900;JANAINA LINS;RENÚNCIA;90;PROS;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001698714;3300;SORAYA;DEFERIDO;33;PMN;FEMININO;PRETA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001653828;27277;RAMON DO BÉM;INDEFERIDO;27;DC;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001698414;12112;KAIQUE WALLY;DEFERIDO;12;PDT;MASCULINO;PRETA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636048;11444;NIEDJA OLIVEIRA;DEFERIDO;11;PP;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001610337;4377;CAL MOREIRA;DEFERIDO;43;PV;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001653831;27000;FRANCISCO CALDAS ;RENÚNCIA;27;DC;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001718558;3530;ANA COSTA;INDEFERIDO;35;PMB;FEMININO;PARDA;N
