SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AC;ACRE;DEPUTADO FEDERAL;10001613552;6565;ZÉ DA ROSA;DEFERIDO;65;PC do B;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001670873;5115;NAZARE PEIXOTO;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001614242;3654;EMILSON CHAVES;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001643698;7727;ANDERSON LIMA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PRETA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635536;10345;EBER MACHADO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643320;40900;SUELEN MOTA;DEFERIDO;40;PSB;FEMININO;PRETA;N
AC;ACRE;DEPUTADO ESTADUAL;10001723793;23007;MARCELO SILVA;INDEFERIDO COM RECURSO;23;CIDADANIA;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649311;22111;JUCY;DEFERIDO;22;PL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001612487;4422;CORONEL ULYSSES;DEFERIDO;44;UNIÃO;MASCULINO;PRETA;N
AC;ACRE;DEPUTADO ESTADUAL;10001622775;12121;VANESSA FACUNDES;DEFERIDO;12;PDT;FEMININO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001623538;44004;FRANCINEUDO COSTA;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606220;90800;FRANCISCA SANTIAGO;DEFERIDO;90;PROS;FEMININO;NÃO INFORMADO;N
AC;ACRE;DEPUTADO ESTADUAL;10001650023;19333;EDMIRK;RENÚNCIA;19;PODE;FEMININO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001642321;15015;FRANCISCA BASÍLIO;DEFERIDO;15;MDB;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001614245;3603;NILVA DANIEL;DEFERIDO;36;AGIR;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606499;36198;ROMEU ENTREGADOR;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643431;11321;SANTIAGO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001670854;51234;PEPES;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001595345;1818;NINAWA HUNI KUI;DEFERIDO;18;REDE;MASCULINO;INDÍGENA;N
AC;ACRE;DEPUTADO ESTADUAL;10001670867;51100;SERGIO RODRIGUES;INDEFERIDO COM RECURSO;51;PATRIOTA;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643426;11333;JENNIFER OLIVEIRA;DEFERIDO;11;PP;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001595340;5050;LUCIANO MADEIRA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001614244;3647;LEO DO WALDEMAR MACIEL;INDEFERIDO COM RECURSO;36;AGIR;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001595361;50055;RAIMUNDO ARAÚJO;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643855;77789;MOISÉS DINIZ ;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001595343;5011;CÉLIO ROCHA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001601445;55789;ESPERIDIÃO DOS TRANSPORTES;DEFERIDO;55;PSD;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606200;90123;CORONEL BATISTA;DEFERIDO;90;PROS;MASCULINO;PARDA;N
AC;ACRE;2º SUPLENTE;10001606583;364;IVANA MOURA;DEFERIDO;36;AGIR;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001595356;50500;WALDIR FRANÇA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649315;22678;ROSE DA ENDEMIAS;DEFERIDO;22;PL;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001642337;1512;AMARALDO PASCOAL;DEFERIDO;15;MDB;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001650028;19223;HERICA GRANZOTTO;DEFERIDO;19;PODE;FEMININO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643843;77234;MARCIA LIMA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PRETA;N
AC;ACRE;DEPUTADO FEDERAL;10001655352;3344;ANTONIO DANTAS;DEFERIDO;33;PMN;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649319;22700;DRA. FABIOLA HELENA;DEFERIDO;22;PL;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001733624;2015;JOSIEL TAVARES;RENÚNCIA;20;PSC;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001622773;12444;ITAMIR LIMA;DEFERIDO;12;PDT;MASCULINO;PARDA;N
