SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001649121;9077;EDSON FIDELIS;RENÚNCIA;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613591;45321;MARINHO DA ACOMAC;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651381;14128;PAULO CESAR O NOVO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598650;40190;CORONEL ROGÉRIO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001612042;36147;TERRINHA DA GARAGEM ;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636656;1510;LAUDIR MUNARETTO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614720;22067;ROSANE MAZETTO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613590;45121;ZÉ TEIXEIRA;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001600675;7788;MARY FABRO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614726;22555;EMERSON SAPO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651382;14357;IDEALES SEBEN;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;VICE-GOVERNADOR;120001674597;29;CARLOS MARTINS ;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001606597;1201;JORGE RODRIGUES;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650956;55190;CHINA;DEFERIDO;MASCULINO;AMARELA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718589;9000;RAUNI GUIMARÃES;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618547;77456;DR. DAVID OLINDO;INDEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001598324;3030;DR. GUSTAVO DE LARA;DEFERIDO;MASCULINO;PARDA;N
