SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RR;RORAIMA;DEPUTADO FEDERAL;230001610868;1310;PROF SIVALDO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001602188;2822;MARRETA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611104;5125;KIARA SILVA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001595285;4455;THIAGO RODRIGUES;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602243;55555;ERIKE ARAÚJO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595300;44000;SUBTENENTE VELTON;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605895;19456;LETICIA SILVA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600143;35122;WELLINGTON DO Ó;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610927;13761;LOURIVAL RIBEIRO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001642284;23999;JUSCELINO CASTRO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604262;22015;MARCIA LARANJEIRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600082;90111;PATRICK MIRANDA;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605878;19777;GEORGE MELO;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001643511;77333;RONALDY DE JESUS;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001725207;11190;LEILA BIKE;RENÚNCIA;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001605876;1990;LENINHA;RENÚNCIA;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001738251;14999;ADRIANA NAPOLEÃO;DEFERIDO;FEMININO;INDÍGENA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600114;1099;ALBUQUERQUE;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600118;3500;MARCIANO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;1º SUPLENTE;230001731264;144;SALAZAR;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600075;90700;MARCIO PIRILAMPO;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001693310;1414;JACKELINE OLIVEIRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600194;20333;JOEL QUEIROZ;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001605869;1977;SARGENTO PRISCILLA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;2º SUPLENTE;230001610814;500;IRMANIO SARMENTO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001714012;1201;PROFESSOR KLEBER;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595290;44188;CATARINA GUERRA;DEFERIDO;FEMININO;PARDA;S
RR;RORAIMA;1º SUPLENTE;230001602197;156;SÉRGIO PILLON;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604252;11123;XINGU;DEFERIDO;MASCULINO;PARDA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001602223;28180;NARCISO CAMPOS;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611102;5100;NATO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611075;33482;FRANCO DE RORAIMA;INDEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600080;90126;LENE DO CARTUXU;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671296;14331;SUEMI;INDEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602829;15615;ADAILTON GALVÃO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604213;40000;ESEDEQUIAS PAIVA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600072;90100;RENATO SILVA;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001602232;55456;GISELE DOMINGOS;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643516;77122;MARIA SARAIVA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604251;11456;ALDILENE SERRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600056;10125;KINHO CORREA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610953;3312;CLAUDIONEI DO AGRO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600108;1010;VITOR VICENTE;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602815;15320;EVA UCHÔA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604239;11321;MAX REIS;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602220;28123;CABO FURTADO;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001693306;1425;EVANDRO MOREIRA;DEFERIDO;MASCULINO;BRANCA;N
